verified_reviews,paraphrased_reviews
"The Echo Spot has really helped me to streamline my day and be more efficient! It reminds me of any appointments, warns me about traffic snarls, and tells me the weather every day while suggesting new music and introducing me to new artists.","

The Echo Spot has made a huge impact on my life, helping me to organize my days and be more productive! It alerts me to any meetings on my calendar, notifies me of any traffic issues, and gives me the daily forecast while introducing me to new music and artists."
 ,"

The doctor prescribed antibiotics for the patient

The doctor gave the patient antibiotics as a medication."
"Come on - it's amaonmazing!  It's way more than a smart speaker.  It's my wake-up alarm, my security blanket, and infotainment center all-in-one.  It's my connection to the world during night hours when I'm mostly sleepy or zonked-out Zzzzzzz...  I can still access the world without my reading-glasses late at night.  It sounds amazing for its size.  It can hear me when I'm far from awake (mostly).  As they say, &#34;this is a must-have device&#34;.  Yep, that is a true statement.","

It's incredible how much this device can do! It's more than just a smart speaker - it's my alarm clock, my safety net, and an information center all in one. Even when I'm feeling groggy late at night, I can still access the world without needing my glasses. It's incredible for its size, and it can still hear me even when I'm not fully awake. As they say, it's a must-have device - and that's definitely true!"
"Got one for me and for my son on Prime Day. We love them! I want one in every room, but that would be excessive.","

I bought one for my son and me on Prime Day, and we're really happy with them! I'd love to have one in every room, but that would be too much."
In one word: Amazing! Best tech purchase I have ever made as it controls all devices in my house and even my pool!,"

Spectacular!"
I’m leaving this for those who don’t have enough of an attention span to read instructions.  You can stop the screen rotations.Swipe down on clock screenSelect settingsHome & clockHome cardsRotate onceProblem solved,"

This is for those who don't have enough patience to read instructions: To stop the screen rotations, swipe down on the clock screen, select settings, go to Home & clock, then Home cards, rotate once, and the problem is solved."
Very nicely constructed. My wife wanted a second for the kitchen so I order a second one.,"

My wife wanted a duplicate for the kitchen, so I purchased another one that was well-made."
 ,"

The car needs to be washed

The car needs to be cleaned with water and soap."
"I love this little gadget, replaces my old clock basically, love i can listen to music in the morning get weather updates, news briefs.  Let's me know when a amazon order is arriving & has been delivered etc.  Yes it's a little pricey, but purchased it on Amazon Prime Now during Prime Day and it was delivered same day for $99.","

I'm so happy with this new device; it's a great replacement for my old clock. I love that I can listen to music in the morning, get weather and news updates, and be notified when my Amazon orders are coming and have been delivered. It was a bit pricey, but I managed to get it on Amazon Prime Now during Prime Day for only $99 and it was delivered the same day."
https://www.amazon.com/dp/B073SQYXTW/ref=cm_cr_ryp_prd_ttl_sol_18,"

This product, available on Amazon, is a great choice for those looking for a quality item."
"I love my little Echo Spot, I have replaced my older full size echo with this little guy. The round screen is an interesting choice and I'm not sure I like the look but it is growing on me. The speakers could be slightly louder but all in all it is a solid echo product.","

I have swapped out my full-sized Echo for the new Echo Spot, and while I'm not sure I'm a fan of the round display, it's starting to grow on me. The sound could be a bit louder, but overall it's a great Echo device."
"It's not as good as Siri, BUT it still has some positives, it's great at playing music, and setting alarms. I personally felt that I paid too much for this product, as it was nearly half off on prime day (literally the day after I purchased it). So I'm pretty disappointed. I might still return it and get my money back. .","

Although it's not as good as Siri, this product still has some advantages, such as its ability to play music and set alarms. I regret paying full price for it, since it was half off the day after I purchased it. I'm unhappy with my purchase and may return it to get my money back."
"Having received this as a gift, I am writing my initial thoughts: (compared to my google home mini)PROS:  Way easier to setup than the google home mini.  I was able to connect ALL of my smart home device (unlike google) without any issues.  Making phone calls on this was clearer for the receiver to understand me.CONS:  Need to enable 'skills' to get more functionality.  Google home has built in functionality to search the web for answer to questions easier than  the amazon echo.  Could not connect this to youtube.","

After receiving this as a present, I have the following initial impressions:PROS: Much easier to set up than the Google Home Mini. I had no issues connecting all of my smart home devices, whereas Google Home was not able to do this. The person on the other end of the phone call was able to understand me more clearly.CONS: I need to enable 'skills' in order to get more out of it. Google Home has built-in functions that make it easier to search the web for answers to questions, which the Amazon Echo does not have. I was unable to connect this to YouTube."
Love it," or hate it

Like it or loathe it"
Well-made product.Echo Spot - White,"

This Echo Spot in White is expertly crafted."
"Installed on my back porch, works very well!  I did have to get the wall mount for it, which also works well.","

I put the item on my back porch and it functions very effectively. I did have to buy the wall mount for it, and that works great too."
"Thank God, and alarm clock with an lcd that gets dim enough for me to sleep. I'm a very light sensitive sleeper and wind up taping black tape over all my other stuff in my bed room. Not this guy. The Alexa features are nice and listening to music at night is great. We enjoy falling asleep to meditation podcasts though we have to use the skill anypod to get the podcasts we like. Video is kinda tiny and useless at this size but that's to be expected. Audio quality is much better than echo dot.","

I'm so glad I got an alarm clock with an LCD that dims enough for me to sleep; I'm a very light sensitive sleeper and usually have to put black tape over my other bedroom items. This alarm clock is great because it has Alexa features, so we can listen to music at night and even use the AnyPod skill to listen to meditation podcasts. The video quality is a bit too small to be useful but that's to be expected; the audio quality is much better than the Echo Dot."
"I love this thing. At first I thought it wouldn’t stay on the clock and that I would have to suffer through ads forever but when the lights are off it sits on the clock and it’s very comfortable for the eyes, easy set up. Love it","

I was initially skeptical that this item wouldn't stay put on the clock, and that I would have to deal with ads forever, but when the lights are off, it fits perfectly on the clock and is very soothing to the eyes. Setup was a breeze. Absolutely adore it!"
"Got it and, as expected, ITS GREAT! Almost a swell as my SHOW.","

I got the item and, just as I anticipated, it is fantastic! Almost as awesome as my show."
"Love this thing. People think I’m crazy for paying this much for a glorified alarm clock. But I don’t care!! For me, waking up in a good mood is pretty important and this helps me do it!! So glad I don’t have to deal with my old EEAANH EEAANH EEAANH alarm. Very excited to say “Alexa, turn off the lights” (smart plugs get here soon!) Got a camera privacy slide for this since it is in my bedroom.","

I'm so pleased with this purchase. Some may think I'm foolish for spending this amount of money on an enhanced alarm clock. Nonetheless, I'm not bothered by it. I value having a positive start to my day, and this helps me achieve that. I'm thrilled that I don't have to listen to my old EEAANH EEAANH EEAANH alarm anymore. I'm also looking forward to speaking the words ""Alexa, turn off the lights"" when my smart plugs arrive soon! I've even got a camera privacy slide for it since it is in my bedroom."
"I absolutely love this! Very user friendly and I got the Kasa Cam to go with it to monitor my living room. Super easy to set up and operate. I only wish it actually came with the camera privacy cover and pivoting stand which you can buy separately. I’m looking forward to future software updates for different clock faces. I like digital but I miss the colon in between the hours and minutes on most of them. I’d also like to see more celebs jump on board for the alarm voices. I really have no complaints, I’m being nit picky at this point. Worth every penny!","

I'm completely enamored with this product! It's so user friendly and I got the Kasa Cam to go with it to monitor my living room. It was a breeze to set up and use. The only thing I wish it had was the camera privacy cover and pivoting stand, which you can buy separately. I'm excited to see what software updates they'll have in the future, like different clock faces. I prefer digital, but I miss the colon between the hours and minutes on most of them. I'd also love to see more celebrities as alarm voices. I'm being really picky, but I really have no complaints. This product is worth every penny!"
Surprisingly good beefy sound out of this thing. I think it might shape up to be one of my favorite echo devices. I have nearly all of them. ;-),"

I am pleasantly surprised by the beefy sound that this device produces. It may even become one of my favorite echo devices, and I have many of them!"
"Given as a gift to my wife, to compliment my echo.  She loves it.","

I gave my wife an echo as a present to show her how much I care, and she loves it."
This is a gift.  But I have one and love it.  The words to songs are great and the I live the face I chose for the clock.  This is my favorite echo (unless I am listening to music).,"

I already have this gift and I adore it. The lyrics to the songs are wonderful and I'm pleased with the face I selected for the clock. This is my preferred echo (unless I'm listening to music)."
"I’ve had this for a little over 3 weeks now and I absolutely love it! It’s so easy to use. I’m basically using it as a smart alarm but it can do way more. The screen quality is great and it looks super cute sitting on my night stand. I don’t know how I lived without it so long. If you can’t decide whether to buy it or not, GO FOR IT! You won’t regret it!!","

I've been using this item for approximately three weeks and I'm in love with it! It's so user-friendly and I'm mainly using it as a smart alarm, but it's capable of a lot more. The quality of the screen is great and it looks wonderful on my nightstand. I can't believe I went so long without it. If you're having trouble deciding whether or not to purchase it, I highly recommend it! You won't regret it!"
Fairly useless.,"

Not very useful."
Bought the spot and loved it. Within months it started acting funny and would stop working—called and they determined that it was overheating. I was told to unplug and technical support would call within 24-48 hours. Waited 48 hours without response and replied to email and was asked to wait a week. A week goes by with absolutely no response so I do the inline chat per instructions. Told to wait longer. REALLY????  Unacceptable—expected more from Amazon. Find it funny how they always thank me for being a Prime member but when an issue arises I cannot even get assistance.,"

I purchased the item and was happy with it, but within months it began to malfunction. I contacted customer service and they determined that it was overheating. I was instructed to unplug it and that technical support would contact me within 24-48 hours. After waiting 48 hours without any response, I sent an email and was asked to wait another week. When the week passed and I still hadn't heard anything, I followed the instructions to do the online chat. Again, I was told to wait longer. I was disappointed in Amazon's service; it's ironic how they always thank me for being a Prime member, yet when I have an issue, I can't even get assistance."
"Much easier to use than the dot. It picks up my voice from farther away and the speakers seem a lot cleaner sounding The screen is a nice perk but I only use it at bed time to listen to prime shows before bed, the screen is too small to watch shows..It displays my alarm in print so I know Alexa heard me correctly. and you can make you own clock face with personal pictures.  My only complaint is that they don't add the stand as standard. I didn't need it for my spot at my desk but definitely needed it beside the bed.Many people complain about the basic Alexa program but it is still such new tech that I'm not going to split hairs.  The echo was not as good as my dot and the spot is better than dot.  Alexa gets better over time and the skills are increasing weekly. Now Alexa even tells the difference between my son and my voice. I think Amazon is working overtime on this project. I gave feedback to ask to be able to have self made lists and now you can make and name lists for anything.I am so used to my Alexa that I talk to her even when I'm staying in a hotel and she's no where to be found.  Alexa, what time is it?  ALEXA???!!","

The Echo is much more user-friendly than the Dot. It picks up my voice from farther away and the speakers are much clearer. The screen is a great addition but I only use it at night to listen to Prime shows; it's too small to watch shows. It also displays my alarm in print so I know Alexa heard me correctly and you can create your own clock face with personal images. The only downside is that the stand is not included as standard, so I had to buy one for my bedside. While some people may not be satisfied with the basic Alexa program, I think it is still very new technology and I'm not going to be too critical. Compared to the Dot, the Echo is much better and Alexa is constantly improving, with new skills being added every week. It can even differentiate between my son and my voice. Amazon is clearly putting a lot of effort into this project. I even gave feedback to ask for the ability to make lists and now you can create and name lists for anything. I'm so used to Alexa that I find myself talking to her even when I'm in a hotel and she's not around. Alexa, what time is it? ALEXA???!!"
"When we were buying another product there was an option to bundle this one for an extra $30...so we thought why not? Well, I'm so glad we did! We are really enjoying our Echo Spot. It reads stories to our girls, plays music, gives us the news, and so much more!  It's so responsive and has so many skills that we enjoy.","

When we were shopping for something else, we noticed that we could get this product for an additional $30 if we bundled it together. We decided it would be worth it and we are so glad we did! We love our Echo Spot! It reads stories to our kids, plays music, delivers the news, and so much more. It's really responsive and has so many capabilities that we're taking advantage of."
For the size of the screen this thing should be $25,"

For the dimensions of the screen, this item should cost $25."
"This is 1 of 6 echo devices in the house and is currently being deployed as a bedside alarm clock.  I use it basically as an echo dot with a clock attached and may occasionally pull up camera video.  Audio quality and screen quality are really are not appropriate for music or watching video.  Much of the time it works well as alarm clock, but there are some serious flaws, particularly if you are the last one to bed or the first to wake.  It doesn’t seem like the engineers actually tested this in a bedroom with 2 people on different schedules.  Try walking into a dark bedroom with a sleeping wife and waking her up by saying “Alexa set an alarm for 5am” and then having Alexa repeat “OK alarm set for 5am.”  Not good.  I suppose you could whisper then fumble for the volume down button but that is stupid.  Plain and simple, this device needs to be brought into the 1990’s and have simple touch screen interface added to set an alarm.  I know there is a cumbersome interface for these situations where one can set an alarm from the alexa app on your phone.  No thanks, if I’m picking up my phone to set an alarm I will just use its built in alarm and save a step.  At least the engineers allow the alarm to be turned off from the touch screen, so for example if you wake up a few minutes early you can cancel the alarm without speaking and waking your spouse.  The interface for using the touch screen to cancel an alarm that has gone off is however not great.  There should be separate snooze and cancel buttons.  Currently a touch snoozes and a swipe cancels.  It is too easy when half awake to snooze when you think you have cancelled.  When the snoozed alarm goes off a few minutes later, my not amused and no longer sleeping wife will let me know by summoning Alexa to turn off the bathroom lights while I’m in the shower.","

This is one of six Echo devices in the house, and it is being used as an alarm clock by my bedside. It functions like an Echo Dot with a clock attached, and I may occasionally use it to pull up camera video. However, the audio and screen quality are not suitable for music or video watching. Most of the time, it works well as an alarm clock, but it does have some significant flaws, especially if you are the last one to go to bed or the first one to wake up. It doesn't seem like the engineers actually tested this device in a bedroom with two people on different schedules. Imagine walking into a dark bedroom with a sleeping partner and saying, “Alexa, set an alarm for 5am,” only to have Alexa repeat, “OK alarm set for 5am.” That is not ideal. You could try to whisper and fumble for the volume down button, but that is still inconvenient. To bring this device into the 1990s, it needs to have a simple touch screen interface added to set an alarm. I know there is a complicated way to do this through the Alexa app on your phone, but that is an extra step. At least the engineers made it possible to turn off the alarm from the touch screen, so if you wake up early, you can cancel the alarm without speaking and disturbing your partner. The interface for using the touch screen to cancel an alarm, however, is not ideal. There should be separate snooze and cancel buttons. Currently, a touch snoozes and a swipe cancels, and it is too easy to snooze when you think you have cancelled when you are half-awake. When the snoozed alarm goes off a few minutes later, my not-amused and no longer sleeping partner will let me know by summoning Alexa to turn off the bathroom lights while I'm in the shower."
I bought this for my mother and she loves it! I want to get one for myself now!,"

I got this item for my mom and she adores it! I'm now thinking of getting one for myself."
 ,"

The cat is sleeping

The feline is resting"
Invasive and scared the crap out of me for speaking when it was not spoken to! CREAPY AF,"

I was so frightened by the intrusive nature of the situation that I was scared to say anything without being spoken to first. It was really creepy."
"4 out of 5 stars. I have the Original Tall Echo, 4 dots, 2 spots and 1 Show.  The only thing I'm finding a problem with is the speakers in the Spot. when using Drop In.  Sometimes I'm not being heard on the other spot and vice versa.  The voices tends break up or the sound coming through is intermittent. The optical is fine........ it's just the sound. Sometimes I'll have to repeat the wake word 2-3 times and I'm only 8 feet away plus it's on one of those $20 stands.  I find the ECHO DOT, Original echo and the Show has much better sound quality.  That's one reason I bought the Echo Show.","

I have the Original Tall Echo, 4 Dots, 2 Spots and 1 Show, and overall I am satisfied with the product. The only issue I am having is with the sound quality of the Spot when I use Drop In. The voices tend to break up and the sound is intermittent, even though I am only 8 feet away and it is on a $20 stand. In comparison, I find the Echo Dot, Original Echo and the Show have much better sound quality, which is why I bought the Echo Show."
"I bought this for my 90 year old grandmother and she and I love it!!! She can call all her family members with just her voice, play games, even watch a video and I love that I can “drop in” on her any time to see how she is doing. She lives all by herself. And I feel comfortable if there was an emergency she could call out to Alexa for help!!","

I got this for my 90 year old grandmother and we are both delighted with it! She can easily contact her relatives with her voice, play games, and even watch a video. I'm glad that I can ""drop in"" on her anytime to check up on her. Since she lives alone, I'm confident that if there was an emergency, she could ask Alexa for assistance."
 ,"

The store is about to close

The store is about to shut down."
"I love this thing! It plays my books from audible or prime music and sets my alarms! If you’re considering purchasing one, get it. It’s worth it.","

This item is great! It can play my audio books from Audible or Prime Music and set alarms. I highly recommend it if you are thinking of buying one; it is definitely worth it."
I think it can read my mind,"

I believe it is able to understand my thoughts."
Perfect,"

Flawless"
"Love my spot! My favorite feature is the &#34;Alexa, start my day.&#34; I love that I can hear the weather, traffic and even the word of the day! It even goes right into my favorite podcast while I get dressed!","

I absolutely adore my spot! My favorite function is the ""Alexa, start my day"" command. I'm thrilled to be able to hear the weather, traffic and even the daily word. It even plays my favorite podcast while I'm getting ready in the morning!"
Works. Replaced my expired bedside radio/alarm.It took me a while to realize that option setting involved using it as a touch screen.Maybe it should said something during the setup process.,"

It took me a while to figure out how to use the new bedside radio/alarm I purchased to replace my expired one, as the settings had to be adjusted via a touch screen. I wish there had been some kind of indication during the setup process to let me know this."
"Works great I love it, grand daughter digs the watching of cartoons on it lol","

I'm really happy with it, my granddaughter loves being able to watch cartoons on it - it's great!"
Gift for husband.  Great!,"

What an awesome present for your husband!"
I had just said to myself how I desired an assistant when I came across the Spot!  As a Mom of two things can get hectic really quickly trying to manage everyone’s schedules & my own. I just verbally tell Alexa what reminder or timer I need set and Voila!Having my Spot has given me the virtual assistant I so desired without having to actually hire someone.  Not to mention the many other awesome features. I have Alexa synced with my Audible & Kindle & Alex can read a book from my libraries to me.I’m still excited to see what else my Spot can do!Side note: I had wanted to purchase a Show for a while & probably still will down the line however I sooooo love my sleek little Sopt!,"

I had just been wishing I had an assistant when I stumbled across the Spot! As a mom of two, things can get chaotic and overwhelming trying to keep up with everyone's schedules and my own. I can simply tell Alexa what reminder or timer I need set and it's done! With my Spot, I have the virtual assistant I desired without needing to hire someone. Plus, it has so many other great features. I have Alexa connected to my Audible and Kindle and it can even read books from my library to me. I'm still amazed at what my Spot can do! As an aside, I had been wanting to get a Show for a while and may still do so eventually, but I'm really happy with my Spot for now!"
"I love the product , but very disappointed once I  realized I can no longer play youtube videos.  I'm now past my 30 days return date.  I am realizing I now have an expensive alarm clock.  I am hoping youtube comes back.  I was looking to buy an echo show for the kitchen during prime day. Glad I didn't.","

I was really excited about the product, but I was let down when I found out YouTube videos were no longer supported. Since I'm past the 30 day return period, I'm stuck with an expensive alarm clock. I'm really hoping YouTube comes back, as I had been planning to buy an Echo Show for the kitchen during Prime Day - I'm glad I didn't now."
"I’m not sure why or how Amazonia asking me about this purchase. I got it as a gift from my kids for Mother’s Day...  It was not bought from my account. Lil bit creepy 😑. I haven’t really had much use for it as no one calls, they text. So that part meh. The other things it does are no different than the other Alexa products.","

I'm not sure why or why Amazon is inquiring about this purchase that my kids gave me for Mother's Day. It wasn't purchased from my account, which is a bit strange. I haven't had much use for it since no one calls me anymore, only texts. The other features it offers are no different than the other Alexa products."
I love love love love it!  I feel like I have a talking computer that tells me EVERYTHING.,"

I am absolutely enamored with it! I feel as if I have a personal assistant that provides me with all the information I need."
Love the Echo Show.  Being able to see the lyrics of the songs as they play or to be able to put a recipe up on the screen is wonderful!!,"

I am absolutely delighted with the Echo Show. It is so convenient to be able to view song lyrics while they are playing or to have a recipe displayed on the screen."
"It seems to work well.  Unfortunately a lot of the functionality is lost because, as many have mentioned, it does not work with google or Youtube any more.  This problem is caused by Google because they came up with their own devices an no longer allow access from other devices like these.  This even effected my smart TV.  Anyhow we purchased a few of these to communicate with our children and grandchildren so we'll see what happens when we hand them out.","

It appears that this device is functioning properly, however, a lot of its features are no longer available since it is not compatible with Google or YouTube. This is because Google has created its own products, thus blocking access from other devices. This has even affected my smart TV. We bought these devices to stay in touch with our family, so we will have to wait and see what happens when we give them out."
Love listening to music. Still trying to learn everything it does.,"

I really enjoy hearing music. I am still trying to understand all the things it can do."
Very pleasedSimple to figure out,"

I am delighted. Easy to understand."
"just what I expected,already have 2 other  shows","

This is exactly what I anticipated; I already possess two other performances."
Very good,"

Excellent"
"Excellent to listen to my music, my audio books, and look all my cameras in and around my house.","

It is great to be able to hear my music, my audio books, and monitor my cameras located both inside and outside of my home."
"Alexa is fun! I’ve added smart home aspects, my friend listens to Spotify, my husband enjoys interacting too.","

I have found Alexa to be enjoyable; I have incorporated it into my smart home, my friend uses it to listen to Spotify, and my husband has a lot of fun interacting with it."
Tremendous way to communicate with friends and family all across the country,"

A great way to keep in touch with loved ones from far away."
"It,is,what it is and than some. Sounds great too. On,y thing I dont like the camera being seen by anyone working for amazon  I asked echo show to show me camera and didn’t know what I was saying but knows how to turn camera on and off but can’t dhiw u what’s recording hmm","

It is what it is, and then some. That sounds great! The only thing I don't like is the camera being visible to anyone working for Amazon. I asked Echo Show to show me the camera, not knowing what I was saying, but it knows how to turn the camera on and off, but can't show you what's being recorded. Hmm."
"Used for personal use. We like hearing weather, news from CNN, and various playlists.","

We enjoy listening to the weather, updates from CNN, and different playlists for our own enjoyment."
Love it!,"

I'm really into it!"
I like the echo show its the best! big screen you can watch movies preview from the movie and alexa will answer all your question you name it.,"

I'm a big fan of the Echo Show. It's great because of the large screen which allows you to watch movie previews, and Alexa is always there to answer any questions you may have."
"Prime day pricing was good, but the show is very limited.  No video services available except Amazon Video.  No Netflix or YouTube.  Alexa is very limited also, not nearly as useful as Google.","

The prices on Prime Day were great, however the selection was quite small. There was no way to access streaming services other than Amazon Video, so no Netflix or YouTube. Additionally, Alexa wasn't nearly as helpful as Google, with its limited capabilities."
"works great, has great picture easy to setup and use..","

This product is highly effective, has an impressive image quality, and is simple to install and operate."
The fact that she can help me find my phone when I am at home alone is worth the price of this device,"

The value of this device is increased by the fact that she can assist me in locating my phone when I'm home alone."
"I LOVE THIS ITEM... I UNDERESTIMATED THIS ITEM, I HAVE ANOTHER 2 IN MY CART ... BUT I'M WAITING FOR THE SAME DEAL AGAIN!!!, I HIGHLY RECOMMEND THIS ITEM!","

I'm absolutely in love with this item and I didn't even realize how great it was until I got it. I already have two more of them in my cart, but I'm holding off on buying them until I can get the same deal again. I would absolutely recommend this item to anyone!"
"I love using my Echo Show for music, it sounds amazing! Unfortunately the video quality when video chatting isnt great, my husband and I video chat often and his video comes out very clear on my end but he says my image is very pixelated. I'm still learning to use it but so far so good.","

I'm a huge fan of my Echo Show for its great sound quality when playing music. However, the video quality when video chatting with my husband isn't very good; he can see me clearly on his end, but he says my image is very pixelated. I'm still getting used to it, but overall I'm pleased with the device."
Love it!,"

I'm really fond of it!"
 ,"

The cost of living is increasing.

The price of goods and services is rising."
Oh I love my Echo Show and the video news spots,"

I'm so fond of my Echo Show and the video news clips."
Waste of money over the echo generation 2.  You don’t really get anything more from a video chat on this device then you would on FaceTime or Skype and it does not cycle through your pictures when you put it on slideshow mode it sticks on the first photo and will not leave it no matter what you do I have even looked online to research articles and cannot find a solution.  I have also had problems with this device shutting down and I have not had these problems on any of the other echo devices.  Price difference is just not worth it,"

Buying the Echo Generation 2 is a waste of money. You don't get any more features from video chatting than you would with FaceTime or Skype, and the slideshow mode doesn't work - it just sticks to the first photo no matter what you do. I've looked online for solutions and can't find any. I've also had problems with it shutting down, which I haven't experienced with other Echo devices. The price difference between this one and other models isn't worth it."
No you tube wouldn't have bought it if I known that,"

If I had been aware, YouTube would not have purchased it."
This is our second echo show.  We have a home in Mexico and one in the USA.  Now when one of us is in the other home we can easily stay in touch and see each other.  We can also drop in on the houses when we aren’t there to check on them.  We use it to turn on and off the lights and security systems in both homes.  We also have echo dots in various rooms.  We love all this technology!  We ask her many questions and she plays music for us.,"

This is our second Echo Show. With one home in Mexico and the other in the USA, we can easily stay connected and see each other, even when one of us is in the other home. We can also drop in on the houses when we're not there to make sure everything is okay. We use it to control the lights and security systems in both homes, and we have Echo Dots in various rooms. We're really enjoying all this tech! We ask her lots of questions and she plays music for us."
Needs to play YouTube and prime video and maybe Netflix. But it has good sound,"

The device has great audio quality, and is capable of playing YouTube, Prime Video, and potentially Netflix."
We love our Echo Show!,"

We are big fans of our Echo Show!"
Great product,"

This item is fantastic."
"I love this device. I upgraded from the Echo Spot. I just wish I could customize the clock on my screen to analog, to mimic what I was used to in the echo spot. Also, there is better sound quality on this device.","

I am really enjoying this device; I made the switch from the Echo Spot and while I miss the analog clock display, I am pleased with the improved sound quality. It would be great if I could customize the clock on the screen to look like the one on the Echo Spot."
"Love this thing.. Best toy I've bought myself in awhile.. So far I have a smart plug connected running my Ac.  And the wifi light bulbs.  Baseball scores, weather are  cool but the music is the best feature.","

I am really enjoying this item - it's one of the best purchases I have made for myself in a while. I have it connected to my air conditioner and wifi light bulbs. It's great to be able to view baseball scores and check the weather, but the best aspect of it is the music feature."
"This thing is a lot cooler than I thought it would be.  I mostly have used it to read me audiobooks, but I also love that I can see into the camera while I'm at work.","

This item is much better than I anticipated. I mainly use it to listen to audiobooks, but I'm also delighted that I can keep an eye on the camera while I'm on the job."
"I’m really enjoying this product. Love the flash briefing, the timers, the weather reports and more.","

I'm really relishing this item. I'm enamored with the flash briefing, the timers, the weather forecasts, and much more."
We love the Show.  It loses the connection every now and then but not sure if that is an Show issue or our internet issue.  But overall we use it for many applications.,"

We are fond of the Show. It has an occasional disconnect, though we can't tell if it's the Show or our web service causing the problem. All in all, we utilize it for a variety of purposes."
Works well with optional cameras.  Conferencing is good.  Still feel like Bezos is spying on me.,"

Conferencing works well with optional cameras, however, I still feel like Jeff Bezos is watching me."
I can connect my smart lights and my phone. And any other smart device. It's just so convenient that I highly reccomend it to anyone who have the disposable income.,"

I am able to link my phone and my smart lights, as well as any other smart device. It is so convenient that I would highly suggest it to anyone who has the financial means to do so."
"Love, love, LOVE!!!","

Adore, adore, ADORE!!!"
Love all my Echo products. I like the video phone feature on this. Can check in on our cat when on vacation.,"

I am fond of all my Echo products, especially the video phone feature. It is really convenient for me to check up on our cat while I am away on vacation."
"Works exactly how you would expect, right out of the box. I love being able to not only hear, but now see, what I need on this device. I loved my regular echo, but the Show is just so much better!  It works wonderfully for music (especially paired with the Amazon music account) and is perfect with my ring doorbell. Love it!","

This device is amazing - it does exactly what I hoped it would, with no setup required. I can now both hear and see what I need, which is a huge improvement from my regular Echo. Music sounds great on it, especially when I use my Amazon music account, and it works perfectly with my Ring doorbell. I'm so happy with it!"
I absolutely LOVE this!!!  I have it in my kitchen so I can use it for cooking. The speakers are amazing!!!,"

This is my absolute favorite item! I have it in my kitchen so I can use it for cooking, and the sound quality is incredible!"
I've only had this a week but so far so good.  We are enjoying it.,"

We have only had this for a week, but it has been a positive experience so far. We are very pleased with it."
"Love the product idea. Super easy to set up & get started, a breeze to do routine tasks (set alarms, timers, add items to shopping/to do lists, play music, get news, just about anything it's supposed to do). The sound is good where Imhave it sitting, not tinny at all as some have found. There is one thing I HATE & it would keep me from recommending it to anyone - you cannot delete from the nice screen the continually running suggestions of what to ask Alexa. Unless you have her turn off the screen totally which I do when I go to bed. And it's too bad bc it's like a continuously running advertisement or set-up guide. Not attractive. The echo show was on sale prior to Prime day for less than the Echo, so I figured I was getting a great deal for my money when trying to decide which device to start out with. Because of the ever present script it's not a nice device to look at, I would not buy it again, or recommend - go with the Echo. I may still exchange the product.","

I love the product idea; it's so easy to set up and begin using it for tasks like setting alarms, timers, adding items to shopping/to do lists, playing music, getting news, and more. The sound quality is good, which is something I was worried about. However, there is one thing I really dislike and it would prevent me from recommending it to anyone - you can't delete the running suggestions of what to ask Alexa from the nice screen. Unless you turn off the screen completely, which I do when I go to bed. It's unfortunate because it's like a continuously running advertisement or set-up guide, and not attractive. The Echo Show was on sale before Prime Day for less than the Echo, so I thought I was getting a good deal when trying to decide which device to buy. Because of the ever present script, it's not a pleasant device to look at, so I wouldn't buy it again or recommend it - go with the Echo. I may still exchange the product."
Very excited to see what it can do,"

I can't wait to find out what it is capable of!"
"This is great for music, video calling, kitchen timers, and probably a bunch more. The only reason I gave it 4 instead of 5 stars is because of the ever-floating ""things to try"" on the home screen. This is purely an aesthetic complaint, but hopefully soon Amazon allows the option to shut it off.","

This product is ideal for a variety of uses, such as music, video calling, and kitchen timers. The only issue I have with it is the ""things to try"" on the home screen, which I find to be visually distracting. I would give it five stars if Amazon gave the option of turning this feature off."
"I love the idea is the star trek computer at home. The skills are great, but the natural language work is mediocre.","

I am fond of the concept of having a Star Trek computer in my home; however, the capabilities are impressive but the natural language capabilities are not up to par."
"Got this as a gift... so cool!  I can view my news, recipes or shopping lists.  And much more!!!","

I received this as a present and it's amazing! I can now see my newsfeed, recipes, shopping lists, and so much more!"
"I do love it. Was easy to set up so far, but I wish it has a little more in the set up instructions. There is still a whole lot more I would like to be able to do with it and I have no idea if I can or not with it. But I really do like it.","

I adore this product. It was a breeze to install, but I would have appreciated more detail in the setup instructions. I'd like to do more with it, but I'm not sure if that's even possible. Nevertheless, I'm really fond of it."
This is my second one. I have one in the kitchen and wanted another in my home office.It is amazing for a quick look up while I am working. I live a very busy life and it helps keep me on track with work and personal appointments.I will buy for holiday gifts for my whole family. The gift of organization and information at a voice command away.,"

I already have one in my kitchen, so this is my second one. Having this in my home office is extremely convenient for me since I lead a very busy lifestyle; it helps me stay on top of my work and personal commitments. I'm also planning to buy this as a holiday present for my family, so they can enjoy the benefit of having quick access to information at the sound of their voice."
 ,"

The person was not paying attention

The individual was not focusing"
